#,Header,Format,20020003,,X1,,,X2,,,Y1,,,Y2,
#,Ref,Ch:,Board,0,-,Channel,0,,,,,,,,
#,[Bref][Cref],Tstamp_ps,Energy,:,[Bx][Cx],deltaT_ns,Energy,...,,,,,,,
[00][00],3401934524592,344,:,[00][01],21.219,0,[00][02],60.469,352,[00][03],67.408,316,[00][04],83.344,288
[00][00],3416189686030,396,:,[00][01],21.156,0,[00][02],53.156,382,[00][03],50.406,362,[00][04],100.469,340
[00][00],3428305578000,656,:,[00][01],64.749,0,[00][02],139.186,1707,[00][03],49.374,741,[00][04],100.936,674
[00][00],3475484222061,257,:,[00][01],20.469,0,[00][02],83.375,377,[00][03],133.939,248,[00][04],16.063,276
[00][00],3504661469530,540,:,[00][01],21.47,0,[00][02],53.47,626,[00][03],164.594,276,[00][04],68.531,524
[00][00],3597777477225,972,:,[00][01],21.102,914,[00][02],35.555,1094,[00][03],112.461,959,[00][04],33.992,943
[00][00],3600761466209,4217,:,[00][01],21.211,2329,[00][02],20.04,4337,[00][03],27.165,3811,[00][04],45.791,3735
[00][00],3607604558436,290,:,[00][01],21.5,296,[00][02],21.406,349,[00][03],111.938,273,[00][04],37.5,276
[00][00],3625690282077,459,:,[00][01],21.515,0,[00][02],129.234,1166,[00][03],79.234,444,[00][04],70.265,418
[00][00],3660247925030,233,:,[00][01],21.094,0,[00][02],76.97,237,[00][03],52.531,185,[00][04],98.219,164
[00][00],3669396341303,890,:,[00][01],21.211,344,[00][02],109.446,2184,[00][03],45.071,863,[00][04],104.414,813
[00][00],3806705633530,275,:,[00][01],21.219,0,[00][02],82.156,315,[00][03],65.906,224,[00][04],84.47,219
[00][00],3870145143124,1087,:,[00][01],21.515,344,[00][02],125.876,2424,[00][03],57.171,879,[00][04],92.218,844
[00][00],3900947686471,1773,:,[00][01],21.16,1710,[00][02],20.028,2058,[00][03],80.778,1729,[00][04],63.215,1707
[00][00],3953004689272,833,:,[00][01],20.273,836,[00][02],16.367,845,[00][03],99.539,743,[00][04],45.352,759
[00][00],3963511807358,574,:,[00][01],22.766,246,[00][02],41.078,623,[00][03],43.422,553,[00][04],106.953,522
[00][00],4022173808420,758,:,[00][01],21.235,133,[00][02],108.079,1537,[00][03],94.391,575,[00][04],54.391,566
[00][00],4038431649436,686,:,[00][01],21.188,0,[00][02],102.875,1092,[00][03],51.25,673,[00][04],99.5,586
[00][00],4056086402334,1465,:,[00][01],21.133,1838,[00][02],32.711,1644,[00][03],112.196,1441,[00][04],35.055,1408
